City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Mattru,7.6244,-11.8332,73.42,85,54,2.84,SL,1612581797
Hobart,-42.8794,147.3294,78.8,41,40,18.41,AU,1612581712
Hermanus,-34.4187,19.2345,59.0,92,4,4.63,ZA,1612581536
Atuona,-9.8,-139.0333,79.57,81,74,18.79,PF,1612581564
Klaksvík,62.2266,-6.589,35.6,69,75,12.66,FO,1612581221
Tashtyp,52.7939,89.8983,21.16,95,100,1.5,RU,1612581415
Coruripe,-10.1256,-36.1756,77.92,83,21,14.41,BR,1612581667
Saint Paul Harbor,57.79,-152.4072,37.4,52,1,23.02,US,1612581806
Rikitea,-23.1203,-134.9692,78.3,72,21,13.47,PF,1612581788
Dobryanka,58.4619,56.4165,35.6,93,90,4.47,RU,1612581721
Taksimo,56.3444,114.8794,-1.55,80,81,2.62,RU,1612581809
Goderich,43.7501,-81.7165,21.2,68,100,25.32,CA,1612581810
Saint-Louis,16.3333,-15.0,62.24,62,98,13.94,SN,1612581812
Roald,62.5833,6.1333,26.6,63,90,10.36,NO,1612581530
Cape Town,-33.9258,18.4232,68.0,88,20,12.66,ZA,1612581437
Porosozero,62.7191,32.727,0.36,91,100,10.38,RU,1612581816
Tandur,17.2333,77.5833,70.5,43,0,3.85,IN,1612581651
Qaanaaq,77.484,-69.3632,-3.48,77,100,7.31,GL,1612581563
Iranshahr,27.2025,60.6848,48.2,21,0,9.22,IR,1612581821
Kasongo-Lunda,-6.4667,16.8167,70.66,89,100,1.72,CD,1612581822
Mahébourg,-20.4081,57.7,75.2,94,40,4.61,MU,1612581823
Hilo,19.7297,-155.09,75.2,60,90,10.36,US,1612581562
Koundara,12.4833,-13.3,71.15,25,94,0.4,GN,1612581826
Puerto Ayora,-0.7393,-90.3518,75.0,98,36,1.99,EC,1612581531
Puri,19.8,85.85,69.8,64,0,6.2,IN,1612581329
New Norfolk,-42.7826,147.0587,75.99,48,57,3.0,AU,1612581560
Coquimbo,-29.9533,-71.3436,60.8,82,90,6.91,CL,1612581361
Port Lincoln,-34.7333,135.8667,67.17,66,99,15.64,AU,1612581640
Saint George,37.1041,-113.5841,52.0,30,20,12.66,US,1612581613
Vaini,-21.2,-175.2,82.4,89,75,9.22,TO,1612581561
Avarua,-21.2078,-159.775,84.2,70,75,6.91,CK,1612581563
Kavieng,-2.5744,150.7967,83.52,72,48,0.65,PG,1612581565
Jamestown,42.097,-79.2353,24.01,73,90,27.63,US,1612581464
Sarankhola,22.3082,89.7897,72.45,37,0,4.85,BD,1612581841
Chokurdakh,70.6333,147.9167,-19.48,85,0,12.24,RU,1612581842
Leh,34.1667,77.5833,3.34,61,0,0.87,IN,1612581382
Port Hardy,50.6996,-127.4199,42.8,87,90,4.61,CA,1612581845
Şahbuz,39.4072,45.5739,35.6,100,90,4.61,AZ,1612581846
Tabuk,17.4189,121.4443,79.07,69,8,4.36,PH,1612581847
Pisco,-13.7,-76.2167,71.6,78,0,0.81,PE,1612581751
Santa Rosa,14.3122,121.1114,86.0,62,75,5.75,PH,1612581373
Longyearbyen,78.2186,15.6401,23.0,80,75,4.61,SJ,1612581532
